signalname,pub_year,sr120_raw_ann,mean_Y,sr120_std_ann,max_logE,logE_tau,tau_months,solo,gamma_e,ebh_thr_gamma_e,rejected,disc_step
Beta,1973,0.2070941678619804,0.049586587024620356,0.1717729762011562,0.4494013819800635,-0.6395550801440966,120,False,0.0024883352788200525,3.333333333333333,False,-1
Price,1973,0.8727180484487805,0.2584502334622524,0.8952978711693181,2.829391810740057,1.500835147016356,120,False,0.02115770520260198,3.333333333333333,False,-1
EP,1977,0.4001852285428037,0.08005706589902603,0.2773258112840057,0.10631424810769108,-0.42436807716927016,120,False,0.0030857690931339644,3.333333333333333,False,-1
DivYieldST,1979,1.6734369190173497,0.48662366947588925,1.6857138393956888,6.856991181358366,6.664635860918755,120,False,3.6989521848024216,3.333333333333333,True,180
BM,1980,0.9435695821866288,0.20236281931407146,0.7010053692297045,3.5783767140663416,0.8209333061261901,120,False,0.010719905179807374,3.333333333333333,False,-1
Size,1981,-0.27409718887218926,-0.08038709067482332,-0.2784690506428806,1.050287257812158,-1.271005009361536,120,False,0.0013233468167363138,3.333333333333333,False,-1
AnalystRevision,1984,2.6964721452934133,0.7767913309236317,2.6908841040775586,16.2035121342056,8.505696889183985,62,True,23.315319050511103,20.0,True,7
EarningsSurprise,1984,2.380410782700672,0.5951500505387941,2.061660251320753,10.220747924328226,8.434988260310474,85,True,21.723659923562284,10.0,True,8
FirmAge,1984,-0.3973092494917037,-0.13398963104515413,-0.4641536973152302,0.39956306118640184,-1.4324511484216762,120,False,0.0011260521644767703,3.333333333333333,False,-1
LRreversal,1985,0.5416147118356226,0.13602637137371829,0.4712091727770255,0.22317594882159764,0.017131717855926487,120,False,0.004798487298821602,3.333333333333333,False,-1
MRreversal,1985,0.6381823972668215,0.17677446280024553,0.6123647021014395,1.0518994691662757,0.46000761482055874,120,False,0.007472103997545075,3.333333333333333,False,-1
BidAskSpread,1986,0.10984297223349164,-0.0262191152902302,-0.09082567962436942,0.2375020786824984,-1.0691127976145074,120,False,0.0016194008039120435,3.333333333333333,False,-1
Leverage,1988,0.6656246276254767,0.17898402921716958,0.6200188646950602,1.130479787004277,0.5100573352070155,120,False,0.007855597535370374,3.333333333333333,False,-1
STreversal,1990,1.1802162637703195,0.6030175240841429,2.088913979136249,12.59205872974489,8.58562876883892,73,True,25.25546313667178,6.666666666666666,True,14
AgeIPO,1991,0.4420011345376246,0.12680732361791874,0.4392734545561282,0.5925082290717567,-0.011468895962325254,120,False,0.004663191609038924,3.333333333333333,False,-1
IndIPO,1991,0.6194078965109764,0.33614003623193095,1.1644232424234953,3.7358462873793297,2.9482848763588603,120,False,0.089967984626192,3.333333333333333,False,-1
AM,1992,0.5478363582373379,0.19582843145256015,0.6783695856847066,3.2210006523467367,0.7549815673320139,120,False,0.010035718425282664,3.333333333333333,False,-1
BMdec,1992,0.8594962711676698,0.31489735853982304,1.0908364483204136,4.499911827364028,2.581108205508945,120,False,0.06231967645138975,3.333333333333333,False,-1
BookLeverage,1992,-0.11129945112082158,-0.014909609863985965,-0.05164840361090758,-0.25664033511662954,-1.0120564953738227,120,False,0.0017144845970277032,3.333333333333333,False,-1
Mom12m,1993,0.27372518861019063,0.16329168192244012,0.5656589790860853,1.5733280382917336,0.4231216305899501,120,False,0.007201509342102295,3.333333333333333,False,-1
Mom6m,1993,0.45180101332057787,0.23826942565201562,0.8253895022390924,2.6687361035757617,1.3590233307817803,120,False,0.018360329563113734,3.333333333333333,False,-1
Spinoff,1993,0.024449216125167286,0.1053897082547213,0.3650806585840768,1.6295805855199688,-0.21935771633252954,120,False,0.003787898152101671,3.333333333333333,False,-1
CF,1994,0.16311940028721666,0.024405335786535847,0.08454256311611806,0.39230609407799255,-0.7832302313499178,120,False,0.0021553190700851735,3.333333333333333,False,-1
MeanRankRevGrowth,1994,-0.4282216336080389,-0.0900031848002478,-0.3117801778340802,0.005164086870586004,-1.3043642386107561,120,False,0.001279929202300846,3.333333333333333,False,-1
DivInit,1995,0.29003338438402176,0.10944927190044539,0.3791433995659841,1.221477578002233,-0.1643759096893198,120,False,0.004001995431556578,3.333333333333333,False,-1
DivOmit,1995,0.28962293674682593,0.13141692544116518,0.45524158367717815,1.588649497415034,0.017810243385390834,120,False,0.004801744299810864,3.333333333333333,False,-1
ExchSwitch,1995,0.7644631546093537,0.22162675320582537,0.7677375937380362,1.9461525523351089,1.0458873544172196,120,False,0.013424163894649972,3.333333333333333,False,-1
ShareRepurchase,1995,0.2716836561661714,0.06489751731342783,0.22481159454387573,0.7325179579312371,-0.5230420911650657,120,False,0.0027958241057436115,3.333333333333333,False,-1
Accruals,1996,0.48841585826802436,0.204600297817163,0.7087562221260999,3.5093333772693187,0.82021764366073,120,False,0.010712236090603863,3.333333333333333,False,-1
AnnouncementReturn,1996,1.9774568300089779,0.6996297061445685,2.4235883950537525,14.350316534213437,8.530605814664966,46,True,23.90337207508854,5.0,True,30
REV6,1996,0.6544743306697562,0.22932564751788773,0.7944073459592262,1.4726846732371999,1.1855737950914342,120,False,0.015436622943559,3.333333333333333,False,-1
RoE,1996,0.3800888831489524,0.05741747098751929,0.19889995398499072,1.152067141478903,-0.5597179842357936,120,False,0.0026951423421064506,3.333333333333333,False,-1
SP,1996,0.6179044789932415,0.1895449816429812,0.6566030770507072,1.4331884728250446,0.6947606901894285,120,False,0.009449196339967296,3.333333333333333,False,-1
VarCF,1996,-0.34449081393026415,-0.09573301758873366,-0.3316289008511433,0.41980362515353487,-1.3190325804742964,120,False,0.00126129178735535,3.333333333333333,False,-1
VolMkt,1996,0.29349739088849264,0.0712082423587909,0.24667258736620823,1.0082494864213971,-0.48631049670475024,120,False,0.002900428566441526,3.333333333333333,False,-1
VolumeTrend,1996,1.188147584097651,0.3497217267002002,1.2114715983109279,4.039370085999952,3.260486105130382,120,False,0.12293491997356365,3.333333333333333,False,-1
fgr5yrLag,1996,0.02359890843810408,0.009255949954174447,0.032063551185889924,0.7159147524491223,-0.8755601702665137,120,False,0.001965229110195062,3.333333333333333,False,-1
AOP,1998,0.23369567075835715,0.09285967125096457,0.3216753371616273,0.05817320658783598,-0.3349047081043601,120,False,0.0033745578090696466,3.333333333333333,False,-1
AnalystValue,1998,0.310804366630275,0.042911314636095606,0.14864915433858314,-0.09248742603889393,-0.6679885818141185,120,False,0.0024185795922463844,3.333333333333333,False,-1
ChInvIA,1998,1.053179172041834,0.2803436815732793,0.9711390001316612,3.0756122860621806,1.9496583397670806,120,False,0.033142861168594585,3.333333333333333,False,-1
DolVol,1998,0.589401190796793,0.05947991352410932,0.20604446450712105,1.488560451720199,-0.5634412129181838,120,False,0.002685126368286177,3.333333333333333,False,-1
GrSaleToGrInv,1998,0.2933304644405831,0.03459633931359406,0.11984523489407496,1.5588024053243228,-0.7421007802601598,120,False,0.0022458144155976557,3.333333333333333,False,-1
GrSaleToGrOverhead,1998,-0.2654939689688853,-0.06722663769551535,-0.23287990422131535,-0.44750611088764214,-1.222132729880923,120,False,0.0013896282626453913,3.333333333333333,False,-1
OScore,1998,0.4566291549020771,0.1364502850387875,0.47267765278887075,0.460833238020953,0.12772230674551754,120,False,0.005359610534965133,3.333333333333333,False,-1
PredictedFE,1998,0.0812199480619838,-0.0026126258145561837,-0.009050401303954667,-0.08308167654252352,-0.9399747319344172,120,False,0.0018426306881744697,3.333333333333333,False,-1
ShareVol,1998,-0.007208303923288318,0.029488896563976234,0.10215253421590025,0.09578139247587458,-0.7630570670244898,120,False,0.002199240200460705,3.333333333333333,False,-1
DebtIssuance,1999,0.6755636024891056,0.21968264474026988,0.7610030044625024,1.450785350413223,0.971081650160575,120,False,0.012456600642041559,3.333333333333333,False,-1
IndMom,1999,0.48638721377268906,0.17330113234050262,0.6003327324459369,1.4936054151717995,0.450813214261115,120,False,0.007403717349254647,3.333333333333333,False,-1
Coskewness,2000,0.25895139614075535,0.15300973362638778,0.5300412653869675,0.6882153986298838,0.2246468101525747,120,False,0.0059050966350136765,3.333333333333333,False,-1
MomVol,2000,0.00923981989462586,0.07560677721086918,0.2619095590515323,0.835233328908664,-0.42176894252855757,120,False,0.003093799854471177,3.333333333333333,False,-1
PS,2000,0.344037486382309,0.18354086762513774,0.6358042159840245,1.5478890169591952,0.4996232301385397,120,False,0.007774057543505821,3.333333333333333,False,-1
AbnormalAccruals,2001,-0.10486403479727985,-0.03435895542824487,-0.11902291299342915,-0.05677829004752799,-1.0960254200884378,120,False,0.0015763997129107483,3.333333333333333,False,-1
AdExp,2001,0.5584755612047585,0.11645299041442352,0.4034049921822259,1.5303382924426345,-0.13712485056729595,120,False,0.004112553617690653,3.333333333333333,False,-1
ConsRecomm,2001,0.305887497096716,0.09727867901185488,0.3369832290834337,0.8078252707629914,-0.28394459675346084,120,False,0.0035509827904600787,3.333333333333333,False,-1
CredRatDG,2001,0.2848305444437231,0.15015095486478203,0.5201381652615675,2.1327486522093775,0.23278538556205874,120,False,0.005953351807102679,3.333333333333333,False,-1
DownRecomm,2001,0.9630026245734088,0.21997808491046053,0.7620264392332364,1.90462607501122,1.0475659099911603,120,False,0.013446716021985206,3.333333333333333,False,-1
RD,2001,0.3530245032790147,0.07572458098042525,0.2623176432799208,0.758989479291091,-0.46802004703760147,120,False,0.002953966836110655,3.333333333333333,False,-1
ShortInterest,2001,0.8059898766659551,0.25345449543689424,0.8779921270068699,2.46616758806845,1.5368503170501606,120,False,0.021933591527409927,3.333333333333333,False,-1
