signalname,pub_year,sr120_raw_ann,mean_Y,sr120_std_ann,max_logE,logE_tau,tau_months,solo,gamma_e,ebh_thr_gamma_e,rejected,disc_step,meanY2_pre,m_env_consistent,logE_tau_adj,tau_months_adj,solo_adj,gamma_e_adj,ebh_thr_gamma_e_adj,rejected_adj,disc_step_adj
Beta,1973,0.2070941678619804,0.0495865870246203,0.1717729762011562,0.4494013819800635,-0.6395550801440966,120,False,0.00248833527882,3.333333333333333,False,-1,1.2312297677186748,1.3,-0.6395550801440966,120,False,0.0024883352788200525,5.0,False,-1
Price,1973,0.8727180484487805,0.2584502334622524,0.8952978711693181,2.829391810740057,1.500835147016356,120,False,0.0211577052026019,3.333333333333333,False,-1,1.365149907395998,1.3,1.500835147016356,120,False,0.02115770520260198,5.0,False,-1
EP,1977,0.4001852285428037,0.080057065899026,0.2773258112840057,0.106314248107691,-0.4243680771692701,120,False,0.0030857690931339,3.333333333333333,False,-1,1.2743676619522788,1.3,-0.42436807716927016,120,False,0.0030857690931339644,5.0,False,-1
DivYieldST,1979,1.6734369190173497,0.4866236694758892,1.6857138393956888,6.856991181358366,6.664635860918755,120,False,3.6989521848024216,3.333333333333333,True,180,1.5028823508780895,1.3,6.664635860918755,120,False,3.6989521848024216,5.0,False,-1
BM,1980,0.9435695821866288,0.2023628193140714,0.7010053692297045,3.5783767140663416,0.8209333061261901,120,False,0.0107199051798073,3.333333333333333,False,-1,1.2653607531133937,1.3,0.8209333061261901,120,False,0.010719905179807374,5.0,False,-1
Size,1981,-0.2740971888721892,-0.0803870906748233,-0.2784690506428806,1.050287257812158,-1.271005009361536,120,False,0.0013233468167363,3.333333333333333,False,-1,1.3233274502260093,1.3,-1.271005009361536,120,False,0.0013233468167363138,5.0,False,-1
AnalystRevision,1984,2.6964721452934133,0.7767913309236317,2.690884104077558,16.2035121342056,8.505696889183985,62,True,23.315319050511103,20.0,True,7,1.9390133085041248,1.3924845810651278,8.693185997285957,65,True,28.123336795442956,20.0,True,7
EarningsSurprise,1984,2.380410782700672,0.5951500505387941,2.061660251320753,10.220747924328226,8.434988260310474,85,True,21.723659923562284,10.0,True,8,1.5111747082388445,1.3,8.434988260310474,85,True,21.723659923562284,10.0,True,8
FirmAge,1984,-0.3973092494917037,-0.1339896310451541,-0.4641536973152302,0.3995630611864018,-1.4324511484216762,120,False,0.0011260521644767,3.333333333333333,False,-1,1.2555498894125046,1.3,-1.4324511484216762,120,False,0.0011260521644767703,5.0,False,-1
LRreversal,1985,0.5416147118356226,0.1360263713737182,0.4712091727770255,0.2231759488215976,0.0171317178559264,120,False,0.0047984872988216,3.333333333333333,False,-1,1.372829080512776,1.3,0.017131717855926487,120,False,0.004798487298821602,5.0,False,-1
